wavelength,real_1,real_2,real_3,real_4,real_5,real_6,real_7,real_8,real_9,real_10
355.879,1.1,1.07,0.63,0.56,0.07,0.87,1.18,0.07,0.25,0.76
356.246,1.11,1.08,0.67,0.55,0.06,0.89,1.18,0.04,0.31,0.76
356.613,1.14,1.12,0.62,0.56,0.1,0.9,1.3,0.09,0.37,0.8
356.98,1.17,1.11,0.58,0.49,0.03,0.89,1.28,0.13,0.39,0.78
357.347,1.12,1.11,0.6,0.5,0.09,0.82,1.25,0.18,0.41,0.8
357.714,1.04,1.11,0.52,0.46,0.08,0.72,1.11,0.1,0.41,0.76
358.081,1.09,1.07,0.43,0.47,0.11,0.64,1.04,0.06,0.47,0.72
358.448,1.08,1.08,0.42,0.36,0.11,0.64,0.95,0.04,0.47,0.66
358.815,1.02,1.19,0.41,0.32,0.17,0.64,0.9,0.02,0.46,0.56
359.181,1.04,1.26,0.41,0.36,0.12,0.76,0.94,0.07,0.46,0.59
359.548,1.11,1.31,0.43,0.37,0.12,0.83,0.99,0,0.49,0.65
359.915,1.13,1.33,0.44,0.32,0.1,0.83,0.93,-0.03,0.49,0.72
360.282,1.14,1.33,0.45,0.38,0.05,0.78,0.99,0.06,0.53,0.76
360.648,1.12,1.32,0.43,0.36,0.03,0.71,0.95,0.04,0.5,0.71
361.015,1.12,1.37,0.44,0.38,0.14,0.78,0.9,0.03,0.47,0.72
361.381,1.17,1.39,0.48,0.34,0.14,0.86,0.93,0.11,0.45,0.77
361.748,1.19,1.38,0.51,0.42,0.16,0.96,1.09,0.19,0.52,0.87
362.114,1.16,1.41,0.53,0.43,0.11,1.01,1.06,0.15,0.45,0.88
362.481,1.23,1.44,0.53,0.5,0.16,1.08,1.12,0.11,0.48,0.92
362.847,1.3,1.35,0.56,0.53,0.1,1.08,1.19,0.08,0.5,0.94
363.214,1.34,1.34,0.6,0.56,0.2,1.04,1.21,0.11,0.53,0.95
363.58,1.2,1.27,0.56,0.49,0.12,0.96,1.14,0.03,0.48,0.82
363.946,1.23,1.33,0.62,0.66,0.22,1.05,1.28,0.11,0.56,0.85
364.312,1.17,1.32,0.63,0.58,0.29,1.06,1.24,0.06,0.5,0.84
364.678,1.17,1.36,0.72,0.62,0.38,1.11,1.25,0.13,0.59,0.93
365.045,1.19,1.39,0.75,0.67,0.38,1.15,1.41,0.18,0.64,1
365.411,1.19,1.39,0.74,0.7,0.44,1.12,1.39,0.1,0.63,1
365.777,1.19,1.37,0.74,0.58,0.39,1.05,1.28,0.05,0.62,0.88
366.143,1.22,1.39,0.78,0.59,0.39,1.02,1.34,0.13,0.66,0.9
366.509,1.22,1.35,0.83,0.58,0.38,0.99,1.29,0.18,0.61,0.85
366.875,1.23,1.4,0.83,0.63,0.37,1,1.28,0.18,0.6,0.92
367.241,1.27,1.39,0.84,0.61,0.31,0.98,1.27,0.13,0.69,0.94
367.606,1.37,1.4,0.87,0.67,0.4,1.04,1.25,0.22,0.65,1.03
367.972,1.4,1.33,0.82,0.61,0.37,1.02,1.18,0.19,0.67,1.02
368.338,1.4,1.31,0.77,0.59,0.3,0.96,1.12,0.08,0.63,1
368.704,1.44,1.25,0.71,0.59,0.23,0.97,1.12,0.03,0.59,0.98
369.069,1.48,1.21,0.74,0.59,0.22,1,0.99,0.06,0.58,0.94
369.435,1.45,1.21,0.71,0.56,0.21,1,0.96,0.08,0.56,0.92
369.801,1.47,1.21,0.68,0.56,0.16,1.06,0.86,0.03,0.45,0.88
370.166,1.44,1.14,0.66,0.48,0.18,1.07,0.84,0,0.44,0.81
370.532,1.42,1.14,0.68,0.51,0.27,1.15,0.9,0.06,0.48,0.89
370.897,1.44,1.17,0.71,0.46,0.38,1.17,0.98,0.1,0.51,0.86
371.263,1.4,1.14,0.68,0.49,0.37,1.15,0.94,0.11,0.43,0.84
371.628,1.38,1.19,0.72,0.58,0.4,1.21,1.01,0.15,0.51,0.92
371.993,1.36,1.24,0.73,0.54,0.43,1.15,1.02,0.14,0.51,0.9
372.359,1.43,1.3,0.77,0.61,0.5,1.16,1.11,0.29,0.58,0.94
372.724,1.4,1.34,0.79,0.62,0.47,1.12,1.08,0.3,0.5,0.9
373.089,1.28,1.32,0.79,0.58,0.47,0.95,1.07,0.21,0.45,0.88
373.454,1.31,1.32,0.8,0.67,0.42,0.91,1.16,0.22,0.49,0.87
373.82,1.36,1.36,0.82,0.72,0.49,0.91,1.26,0.32,0.62,0.91
374.185,1.36,1.39,0.8,0.79,0.54,0.85,1.24,0.29,0.58,0.94
374.55,1.38,1.45,0.76,0.81,0.47,0.8,1.19,0.24,0.64,0.89
374.915,1.38,1.46,0.78,0.83,0.44,0.86,1.15,0.27,0.67,0.9
375.28,1.36,1.46,0.76,0.75,0.47,0.89,1.17,0.21,0.64,0.88
375.645,1.37,1.46,0.73,0.66,0.39,0.79,1.12,0.19,0.58,0.82
376.01,1.42,1.45,0.77,0.72,0.44,0.94,1.21,0.24,0.58,0.88
376.374,1.34,1.42,0.77,0.77,0.48,1.04,1.16,0.22,0.56,0.9
376.739,1.32,1.36,0.77,0.78,0.51,1.08,1.17,0.24,0.56,0.88
377.104,1.39,1.39,0.74,0.83,0.59,1.17,1.17,0.27,0.62,0.95
377.469,1.4,1.38,0.76,0.82,0.6,1.23,1.1,0.26,0.65,0.96
377.833,1.36,1.37,0.79,0.85,0.61,1.26,1.12,0.22,0.57,0.97
378.198,1.37,1.39,0.78,0.86,0.61,1.29,1.15,0.25,0.59,0.96
378.563,1.43,1.43,0.83,0.87,0.67,1.4,1.25,0.34,0.64,1.03
378.927,1.42,1.44,0.83,0.92,0.66,1.33,1.25,0.3,0.6,1
379.292,1.45,1.47,0.85,1.01,0.73,1.32,1.23,0.36,0.58,1.01
379.656,1.47,1.44,0.82,1.02,0.81,1.35,1.24,0.32,0.59,0.95
380.021,1.37,1.41,0.76,0.92,0.73,1.2,1.08,0.19,0.5,0.85
380.385,1.43,1.4,0.78,0.83,0.71,1.17,1.06,0.19,0.52,0.8
380.749,1.5,1.49,0.82,0.8,0.78,1.2,1.07,0.25,0.58,0.89
381.114,1.53,1.48,0.82,0.75,0.65,1.2,1.09,0.22,0.54,0.81
381.478,1.54,1.48,0.8,0.74,0.63,1.18,1.06,0.2,0.52,0.76
381.842,1.54,1.46,0.81,0.76,0.69,1.22,1.06,0.28,0.58,0.82
382.206,1.52,1.49,0.84,0.73,0.73,1.28,1.1,0.25,0.58,0.86
