wavelength,fac_1,fac_2,fac_3,fac_4,fac_5,fac_6,fac_7,fac_8,fac_9,fac_10
419.134,6.36,6.94,6.29,7.13,5.64,6.87,3.83,8.44,6.53,5.13
419.494,6.39,6.89,6.28,7.1,5.66,6.87,3.83,8.47,6.57,5.17
419.853,6.42,6.9,6.3,7.12,5.64,6.91,3.85,8.49,6.6,5.18
420.213,6.36,6.91,6.31,7.16,5.65,6.91,3.87,8.51,6.63,5.15
420.573,6.41,6.98,6.42,7.21,5.7,6.92,3.93,8.54,6.69,5.21
420.933,6.38,6.93,6.41,7.14,5.67,6.86,3.92,8.48,6.72,5.16
421.292,6.42,6.97,6.43,7.18,5.62,6.86,3.95,8.48,6.77,5.2
421.652,6.39,6.95,6.4,7.19,5.64,6.81,3.9,8.47,6.74,5.23
422.011,6.34,6.93,6.36,7.13,5.61,6.82,3.88,8.46,6.72,5.19
422.371,6.28,6.88,6.31,7.11,5.58,6.83,3.89,8.44,6.67,5.21
422.73,6.31,6.87,6.36,7.12,5.61,6.88,3.86,8.4,6.61,5.19
423.09,6.31,6.8,6.38,7.12,5.65,6.89,3.86,8.38,6.62,5.19
423.449,6.3,6.8,6.39,7.11,5.66,6.92,3.86,8.34,6.6,5.17
423.809,6.28,6.74,6.28,7.07,5.64,6.88,3.8,8.28,6.56,5.1
424.168,6.3,6.75,6.3,7.07,5.68,6.87,3.81,8.27,6.6,5.16
424.527,6.24,6.71,6.2,7.02,5.62,6.84,3.78,8.27,6.52,5.12
424.887,6.22,6.74,6.18,7.02,5.64,6.85,3.79,8.31,6.51,5.12
425.246,6.2,6.7,6.19,6.95,5.65,6.88,3.72,8.33,6.44,5.08
425.605,6.19,6.74,6.16,6.91,5.63,6.88,3.75,8.34,6.42,5.03
425.964,6.24,6.77,6.18,6.91,5.67,6.88,3.79,8.37,6.48,5.08
426.323,6.25,6.82,6.21,6.88,5.68,6.88,3.79,8.4,6.52,5.04
426.682,6.19,6.73,6.08,6.81,5.61,6.82,3.79,8.35,6.49,5.01
427.041,6.22,6.73,6.03,6.78,5.58,6.8,3.74,8.36,6.54,5.01
427.4,6.25,6.74,6.03,6.76,5.58,6.76,3.73,8.36,6.5,5.04
427.759,6.22,6.76,6.07,6.77,5.59,6.77,3.8,8.37,6.55,5.1
428.118,6.25,6.76,6.07,6.73,5.56,6.76,3.79,8.39,6.53,5.07
428.477,6.2,6.7,6.06,6.69,5.5,6.72,3.74,8.34,6.47,5.01
428.835,6.2,6.69,6.07,6.68,5.51,6.77,3.73,8.34,6.47,5.01
429.194,6.2,6.73,6.07,6.72,5.53,6.78,3.77,8.34,6.53,5.03
429.553,6.2,6.67,6.09,6.71,5.52,6.77,3.75,8.3,6.54,5.07
429.911,6.21,6.65,6.08,6.75,5.48,6.79,3.76,8.36,6.53,5.05
430.27,6.22,6.63,6.07,6.77,5.51,6.82,3.77,8.38,6.54,5.07
430.629,6.28,6.68,6.15,6.8,5.54,6.88,3.84,8.46,6.61,5.12
430.987,6.29,6.69,6.15,6.81,5.55,6.83,3.85,8.4,6.57,5.13
431.346,6.27,6.69,6.13,6.83,5.56,6.85,3.86,8.38,6.61,5.1
431.704,6.31,6.72,6.1,6.8,5.55,6.8,3.83,8.37,6.56,5.08
432.062,6.3,6.7,6.11,6.78,5.55,6.83,3.83,8.33,6.56,5.1
432.421,6.39,6.75,6.15,6.83,5.64,6.86,3.89,8.38,6.66,5.14
432.779,6.44,6.76,6.17,6.85,5.64,6.88,3.9,8.45,6.69,5.16
433.137,6.44,6.78,6.18,6.84,5.65,6.87,3.89,8.47,6.68,5.15
433.496,6.43,6.78,6.16,6.8,5.67,6.89,3.91,8.5,6.71,5.17
433.854,6.39,6.8,6.15,6.78,5.7,6.88,3.92,8.45,6.68,5.17
434.212,6.38,6.78,6.12,6.73,5.68,6.84,3.87,8.38,6.64,5.17
434.57,6.32,6.78,6.08,6.7,5.6,6.8,3.76,8.34,6.61,5.1
434.928,6.25,6.75,6.08,6.65,5.56,6.76,3.71,8.32,6.56,5.04
435.286,6.21,6.73,6.09,6.66,5.53,6.75,3.69,8.31,6.52,5.01
435.644,6.15,6.69,6.08,6.64,5.5,6.73,3.66,8.33,6.5,4.97
436.002,6.07,6.67,5.98,6.62,5.44,6.63,3.6,8.25,6.41,4.89
436.36,5.94,6.55,5.87,6.58,5.34,6.55,3.5,8.18,6.27,4.83
436.718,5.84,6.47,5.78,6.53,5.24,6.45,3.41,8.06,6.19,4.74
437.075,5.8,6.4,5.7,6.48,5.19,6.39,3.37,8,6.13,4.7
437.433,5.79,6.38,5.66,6.48,5.15,6.34,3.33,7.94,6.09,4.63
437.791,5.8,6.36,5.6,6.47,5.12,6.3,3.28,7.95,6.09,4.61
