wavelength,fac_1,fac_2,fac_3,fac_4,fac_5,fac_6,fac_7,fac_8,fac_9,fac_10
674.943,30.87,26.41,23.01,21.64,23.16,19.36,7.81,11.74,13.08,9.3
675.27,30.91,26.37,23.08,21.73,23.04,19.24,7.69,11.72,12.98,9.12
675.597,30.93,26.48,23.24,21.73,23.32,19.36,7.67,11.75,13.12,9.04
675.924,30.85,26.3,23.24,21.93,23.52,19.47,7.67,11.82,13.29,9.26
676.252,30.95,26.33,23.46,22.19,23.35,19.43,7.65,11.86,13.52,9.17
676.579,31.13,26.51,23.59,22.15,23.25,19.4,7.49,11.83,13.7,9.11
676.906,30.87,26.38,23.66,22.34,23.34,19.36,7.73,11.82,13.67,8.99
677.233,30.79,26.46,23.62,22.7,23.37,19.32,7.71,11.78,13.76,9.09
677.56,30.89,26.6,23.58,22.73,23.34,19.3,7.69,11.72,13.67,9.23
677.887,30.78,26.3,23.52,22.48,23.21,19.46,7.66,11.49,13.61,9.15
678.214,30.58,26.25,23.42,22.3,23.11,19.41,7.47,11.26,13.3,9.06
678.541,30.52,26.08,23.28,22.37,23.05,19.31,7.26,11.26,13.24,8.93
678.868,30.27,25.8,23.04,22.16,22.84,19.21,7.03,11.07,13.12,8.78
679.195,30.26,25.69,22.87,22.09,22.63,19.09,6.7,10.95,13.04,8.58
679.521,30.34,25.7,22.91,21.79,22.37,19.07,6.63,10.94,12.77,8.53
679.848,30.27,25.83,22.77,21.57,22.24,19.18,6.6,10.92,12.79,8.69
680.175,30.21,25.48,22.58,21.49,22.36,19.23,6.5,10.68,12.75,8.69
680.501,30.12,25.26,22.31,21.04,22.37,19.14,6.1,10.55,12.77,8.67
680.828,30.09,25.08,22.31,20.92,22.32,19.11,6.15,10.43,12.76,8.65
681.154,29.9,25.14,22.26,20.85,22.18,19.05,6.15,10.42,12.73,8.43
681.481,29.97,25.42,22.2,20.92,22.19,19,6.15,10.65,12.83,8.43
681.807,29.97,25.5,22.4,21.09,22.38,19.11,6.24,10.84,13.12,8.72
682.134,30.06,25.7,22.43,21.06,22.42,19.32,6.47,10.88,13.16,8.84
682.46,30.43,25.93,22.33,21.18,22.7,19.36,6.74,11.09,13.23,9.07
682.787,30.47,26.01,22.23,21.28,22.63,19.44,6.8,11.18,13.18,9.31
683.113,30.28,26.19,22.04,21.34,22.79,19.32,6.71,11.2,13.39,9.36
683.439,30.18,26.09,21.99,21.26,22.8,18.96,6.71,11.22,13.38,9.23
